"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "Markdown", "comment", "blank", "total"
"d:\habitau\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"d:\habitau\angular.json", "JSON", 0, 110, 0, 0, 0, 0, 0, 0, 1, 111
"d:\habitau\karma.conf.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 6, 2, 45
"d:\habitau\package-lock.json", "JSON", 0, 20894, 0, 0, 0, 0, 0, 0, 1, 20895
"d:\habitau\package.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"d:\habitau\server\db.json", "JSON", 0, 137, 0, 0, 0, 0, 0, 0, 0, 137
"d:\habitau\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 118, 0, 0, 0, 0, 3, 121
"d:\habitau\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\habitau\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"d:\habitau\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\habitau\src\app\app.module.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 0, 3, 81
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\administrador\administrador.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"d:\habitau\src\app\pages\private\administrador\administrador.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\administrador\administrador.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\administrador\administrador.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.html", "HTML", 0, 0, 0, 0, 0, 59, 0, 0, 0, 59
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.html", "HTML", 0, 0, 0, 0, 0, 121, 0, 0, 4, 125
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 0, 4, 106
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.html", "HTML", 0, 0, 0, 0, 0, 143, 0, 0, 19, 162
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.html", "HTML", 0, 0, 0, 0, 0, 60, 0, 1, 5, 66
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\habitau\src\app\pages\private\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 45, 0, 0, 0, 45
"d:\habitau\src\app\pages\private\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\home\home.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 83, 0, 0, 3, 86
"d:\habitau\src\app\pages\private\profile\profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\profile\profile.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\profile\profile.component.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 6, 54
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.html", "HTML", 0, 0, 0, 0, 0, 75, 0, 0, 2, 77
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.html", "HTML", 0, 0, 0, 0, 0, 138, 0, 0, 20, 158
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\public\contactnav\contactnav.component.html", "HTML", 0, 0, 0, 0, 0, 226, 0, 0, 17, 243
"d:\habitau\src\app\pages\public\contactnav\contactnav.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\habitau\src\app\pages\public\contactnav\contactnav.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\contactnav\contactnav.component.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 6, 76
"d:\habitau\src\app\pages\public\explorenav\explorenav.component.html", "HTML", 0, 0, 0, 0, 0, 272, 0, 59, 29, 360
"d:\habitau\src\app\pages\public\explorenav\explorenav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\public\explorenav\explorenav.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\explorenav\explorenav.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\public\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 343, 0, 1, 34, 378
"d:\habitau\src\app\pages\public\register\register.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\habitau\src\app\pages\public\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\register\register.component.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 0, 23, 9, 134
"d:\habitau\src\app\pages\public\rentnav\rentnav.component.html", "HTML", 0, 0, 0, 0, 0, 213, 0, 6, 17, 236
"d:\habitau\src\app\pages\public\rentnav\rentnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\public\rentnav\rentnav.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\rentnav\rentnav.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 30
"d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\spacesnav\spacesnav.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\services\administrador.guard.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\administrador.guard.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"d:\habitau\src\app\services\arrendatario.guard.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\arrendatario.guard.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"d:\habitau\src\app\services\auth.interceptor.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"d:\habitau\src\app\services\helper.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\habitau\src\app\services\login.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\login.service.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 4, 15, 71
"d:\habitau\src\app\services\modal.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\modal.service.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\habitau\src\app\services\propiedades.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\propiedades.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\habitau\src\app\services\tipopropiedad.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\tipopropiedad.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\habitau\src\app\services\universidades.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\universidades.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\habitau\src\app\services\usuario.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\habitau\src\app\services\usuario.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\footer\footer.component.html", "HTML", 0, 0, 0, 0, 0, 98, 0, 0, 15, 113
"d:\habitau\src\app\shared\components\footer\footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\footer\footer.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\footer\footer.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\shared\components\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 108, 0, 4, 12, 124
"d:\habitau\src\app\shared\components\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\header\header.component.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 2, 12, 95
"d:\habitau\src\app\shared\components\hero\hero.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 4, 7, 74
"d:\habitau\src\app\shared\components\hero\hero.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\hero\hero.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\hero\hero.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\shared\components\modalogin\modalogin.component.html", "HTML", 0, 0, 0, 0, 0, 132, 0, 1, 6, 139
"d:\habitau\src\app\shared\components\modalogin\modalogin.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\modalogin\modalogin.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\modalogin\modalogin.component.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 7, 11, 105
"d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.html", "HTML", 0, 0, 0, 0, 0, 153, 0, 0, 1, 154
"d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectionfive\sectionfive.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 0, 0, 82
"d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectionfour\sectionfour.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\habitau\src\app\shared\components\sectionone\sectionone.component.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"d:\habitau\src\app\shared\components\sectionone\sectionone.component.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\habitau\src\app\shared\components\sectionone\sectionone.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectionone\sectionone.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectionsix\sectionsix.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.html", "HTML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 32
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\habitau\src\environments\environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 11, 3, 17
"d:\habitau\src\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"d:\habitau\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\habitau\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 47, 6, 54
"d:\habitau\src\styles.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\habitau\src\test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 4, 5, 27
"d:\habitau\tailwind.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"d:\habitau\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\habitau\tsconfig.json", "JSON with Comments", 0, 0, 31, 0, 0, 0, 0, 1, 1, 33
"d:\habitau\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 49, 21217, 31, 1829, 57, 2747, 14, 184, 724, 26852